"OTU"	"PM1:20080107"	"PM1:20080108"	"PM1:20080114"	"PM1:20071211"	"PM1:20080121"	"PM1:20071217"	"PM1:20080128"	"PM1:20080204"	"PM1:20080211"	"PM1:20080218"	"PM1:20080225"	"PM1:20080303"	"PM10:20080107"	"PM10:20080108"	"PM10:20080114"	"PM10:20071211"	"PM10:20080121"	"PM10:20071217"	"PM10:20080128"	"PM10:20080204"	"PM10:20080211"	"PM10:20080218"	"PM10:20080225"	"PM10:20080303"	"PM11:20080107"	"PM11:20080108"	"PM11:20080114"	"PM11:20071211"	"PM11:20080121"	"PM11:20071217"	"PM11:20080128"	"PM11:20080204"	"PM11:20080211"	"PM11:20080218"	"PM11:20080225"	"PM11:20080303"	"PM12:20080107"	"PM12:20080108"	"PM12:20080114"	"PM12:20080121"	"PM12:20071217"	"PM12:20080128"	"PM12:20080204"	"PM12:20080211"	"PM12:20080218"	"PM12:20080225"	"PM12:20080303"	"PM2:20080107"	"PM2:20080108"	"PM2:20080114"	"PM2:20071211"	"PM2:20080121"	"PM2:20071217"	"PM2:20080128"	"PM2:20080204"	"PM2:20080211"	"PM2:20080218"	"PM2:20080225"	"PM2:20080303"	"PM3:20080107"	"PM3:20080108"	"PM3:20080114"	"PM3:20071211"	"PM3:20080121"	"PM3:20071217"	"PM3:20080128"	"PM3:20080204"	"PM3:20080211"	"PM3:20080218"	"PM3:20080225"	"PM3:20080303"	"PM4:20080107"	"PM4:20080108"	"PM4:20080114"	"PM4:20080121"	"PM4:20071217"	"PM4:20080128"	"PM4:20080204"	"PM4:20080211"	"PM4:20080218"	"PM4:20080225"	"PM4:20080303"	"PM5:20080107"	"PM5:20080108"	"PM5:20080114"	"PM5:20071211"	"PM5:20080121"	"PM5:20071217"	"PM5:20080128"	"PM5:20080204"	"PM5:20080211"	"PM5:20080218"	"PM5:20080225"	"PM5:20080303"	"PM6:20080107"	"PM6:20080108"	"PM6:20080114"	"PM6:20080121"	"PM6:20071217"	"PM6:20080128"	"PM6:20080204"	"PM6:20080211"	"PM6:20080218"	"PM6:20080225"	"PM6:20080303"	"PM7:20080114"	"PM7:20071211"	"PM7:20080121"	"PM7:20071217"	"PM7:20080128"	"PM7:20080204"	"PM7:20080211"	"PM7:20080218"	"PM7:20080225"	"PM7:20080303"	"PM8:20080107"	"PM8:20080108"	"PM8:20080114"	"PM8:20071211"	"PM8:20080121"	"PM8:20071217"	"PM8:20080128"	"PM8:20080204"	"PM8:20080211"	"PM8:20080218"	"PM8:20080225"	"PM8:20080303"	"PM9:20080107"	"PM9:20080108"	"PM9:20080114"	"PM9:20071211"	"PM9:20080121"	"PM9:20071217"	"PM9:20080128"	"PM9:20080204"	"PM9:20080211"	"PM9:20080218"	"PM9:20080225"	"PM9:20080303"
"Prevotellaceae:1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lachnospiraceae:1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unclassified-Screened:1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales:1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales:2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Firmicutes:1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PeptostreptococcaceaeIncertaeSedis:1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales:3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lachnospiraceae:7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lachnospiraceae:8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LachnospiraceaeIncertaeSedis:1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lachnospiraceae:9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
