"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"OTU"
"Prevotellaceae:1"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Prevotellaceae"	"NA"	"Prevotellaceae:1"
"Lachnospiraceae:1"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:1"
"Unclassified-Screened:1"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:1"
"Clostridiales:1"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:1"
"Clostridiales:2"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:2"
"Firmicutes:1"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:1"
"PeptostreptococcaceaeIncertaeSedis:1"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"PeptostreptococcaceaeIncertaeSedis"	"PeptostreptococcaceaeIncertaeSedis:1"
"Clostridiales:3"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:3"
"Lachnospiraceae:7"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:7"
"Lachnospiraceae:8"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:8"
"LachnospiraceaeIncertaeSedis:1"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"LachnospiraceaeIncertaeSedis"	"LachnospiraceaeIncertaeSedis:1"
"Lachnospiraceae:9"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:9"
"Lachnospiraceae:10"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:10"
"Prevotellaceae:2"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Prevotellaceae"	"NA"	"Prevotellaceae:2"
"Firmicutes:3"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:3"
"Enterococcaceae:1"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"NA"	"Enterococcaceae:1"
"Lachnospiraceae:12"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:12"
"Lachnospiraceae:13"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:13"
"Clostridiales:4"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:4"
"Lachnospiraceae:15"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:15"
"Lachnospiraceae:16"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:16"
"Lachnospiraceae:17"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:17"
"Lachnospiraceae:18"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:18"
"Lachnospiraceae:19"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:19"
"Lachnospiraceae:20"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:20"
"Ruminococcaceae:2"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"NA"	"Ruminococcaceae:2"
"Lachnospiraceae:21"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:21"
"Lachnospiraceae:22"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:22"
"Lachnospiraceae:23"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:23"
"LachnospiraceaeIncertaeSedis:2"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"LachnospiraceaeIncertaeSedis"	"LachnospiraceaeIncertaeSedis:2"
"Lachnospiraceae:26"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:26"
"Clostridiales:5"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:5"
"Lachnospiraceae:27"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:27"
"Clostridiales:7"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:7"
"Unclassified-Screened:2"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:2"
"Clostridia:1"	"Bacteria"	"Firmicutes"	"Clostridia"	"NA"	"NA"	"NA"	"Clostridia:1"
"Firmicutes:4"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:4"
"Faecalibacterium:1"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	"Faecalibacterium:1"
"Erysipelotrichaceae:1"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"NA"	"Erysipelotrichaceae:1"
"Coprobacillus:2"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"	"Coprobacillus:2"
